Cell,Area in microns,Size in microns,Mean of FWHM,Std of FWHM,FWHM of FWHM
4,6.273207500000001,2.504637199276574,0.2212992289269173,0.19496433566486737,0.45914101049076267
5,4.27112,2.066668817203182,0.14479664350964166,0.0923412101014945,0.21746354978901955
6,3.3368125,1.8266944188889394,0.12304112612323921,0.02208179754630281,0.05200263322154312
8,8.141822500000002,2.853387898621567,0.09469782300601784,0.04235468154643021,0.09974527504184315
9,12.1459975,3.485110830375413,0.10021936953537695,0.04504537655856603,0.106081861795423
10,24.959357500000003,4.995934096843152,0.20167613757502692,0.2631624069779479,0.6197474684330673
11,32.0334,5.659805650373518,0.39156699723821153,0.43780174102428215,1.0310231001121846
12,7.0740425,2.6597072207293793,0.1810021958099695,0.04595924995155665,0.1082340336359159
13,12.679887500000001,3.5608829663441623,0.28160063799759205,0.2703879959256476,0.6367637304049001
14,11.21169,3.3483861784447746,0.14560703060598879,0.16695048172204247,0.39316838445541
15,20.554765,4.533736317872931,0.24091097807574913,0.2453425197309612,0.5777816339664136
16,3.0698675,1.752103735513397,0.32754913022694887,0.24412743378029053,0.5749201065525842
17,11.8790525,3.4466001363662713,0.47944881057555855,0.2829291226624331,0.6662980838700299
18,18.8196225,4.338158883674041,0.22241008061190884,0.20466916045625985,0.48199587287449197
19,6.139735,2.4778488654476085,0.23164349091701925,0.17033418182678967,0.40113699820208965
20,8.4087675,2.899787492213869,0.19930549239444598,0.15358711275943052,0.36169765054845887
21,59.261790000000005,7.698167963872963,0.23418607339162112,0.2852059913908369,0.6716601097254209
22,24.825885000000003,4.98255807793547,0.4065067823404127,0.341883504242303,0.8051356524906236
23,2.5359775,1.5924752745333286,0.21445642869263593,0.10821476217503043,0.2548457649221966
24,56.859285,7.540509598163774,0.31016651073985996,0.23934327911160488,0.5636534223078294
25,9.2096025,3.034732690040426,0.3897663532745841,0.17132884444924806,0.4034794286779792
26,251.59566250000003,15.861767319564363,0.27541532246405775,0.20718092898943527,0.48791108777012004
27,7.0740425,2.6597072207293793,0.17980354339248242,0.03454715613150433,0.08135855268969269
28,4.27112,2.066668817203182,0.1334279100323555,0.10212426523934977,0.2405026446386687
29,14.681975000000001,3.831706538867506,0.2869549410134701,0.10350450329652121,0.24375310526330746
30,8.54224,2.922711070222303,0.9655185941341502,0.3729198672357561,0.8782262873402056
31,45.914539999999995,6.776026859450898,0.2421504958074041,0.1920259725830666,0.45222116543312185
32,131.33694,11.46023298192493,0.37636479897007574,0.3040095878992394,0.7159425795027087
33,9.4765475,3.0784001526767115,0.20283031924004766,0.15309492474156997,0.36053854776639727
34,1.6016700000000001,1.2655710173672594,0.15992862506814728,0.12812401721832045,0.30173206054914464
35,33.2346525,5.764950346707247,0.6209129395752636,0.32321735961428993,0.7611768818916528
36,35.1032675,5.924801051512194,0.2795341579859695,0.29500095413287425,0.6947272469829189
37,12.9468325,3.5981707157943466,0.3021689946086749,0.3357245489649465,0.790631312812449
39,8.54224,2.922711070222303,0.5273390562717164,0.13585438515007364,0.31993707702842344
40,103.1742425,10.157472249531377,0.19307244387767655,0.14260878618891926,0.33584369147490484
41,2.0020875,1.4149514125933795,0.25477146474151735,0.02531642433420831,0.059620179307060574
42,10.5443275,3.247203027222043,0.6379129969577519,0.4015278595918784,0.9455981093388737
43,30.5652025,5.528580514019851,0.22778313449325566,0.26100143071584975,0.6146583693358262
44,30.031312500000002,5.480083256666818,0.2243762488710321,0.1475920674435668,0.3475793188295998
45,9.4765475,3.0784001526767115,0.3783774652193141,0.5146456808239468,1.2119905783403946
46,4.5380650000000005,2.130273456624759,0.4845969630573227,0.10443289744880528,0.24593947349193643
47,3.470285,1.8628700974571468,0.17869313656971156,0.054044588052412704,0.1272750048634319
48,7.8748775,2.806221213660819,0.41195390468873694,0.5105380171251356,1.2023170303296942
49,11.74558,3.4271825162952734,0.18187794980278216,0.11402889183313954,0.2685380402670436
50,8.141822500000002,2.853387898621567,0.3742527682204649,0.28315763027860946,0.6668362193061252
