Cell,Area in microns,Size in microns,Mean of FWHM,Std of FWHM,FWHM of FWHM
4,6.273207500000001,2.504637199276574,0.0038624001768993847,0.0034027695813153435,0.008013522363997634
5,4.27112,2.066668817203182,0.0025271781750797247,0.0016116581515469262,0.0037954549468930112
6,3.3368125,1.8266944188889394,0.0021474727662121307,0.00038540007194178905,0.0009076171694229132
7,1.8686150000000001,1.3669729331629066,0.005978510875116885,0.003018172826401058,0.007107797006174491
8,8.141822500000002,2.853387898621567,0.0016527888059258452,0.0007392286466188908,0.0017408834627874877
9,12.27947,3.504207471026794,0.0017755363530538731,0.0008213988239062293,0.00193439423029917
10,24.291995,4.928691002690268,0.0032604470162447257,0.004332269673683183,0.010202495081523894
11,30.698675,5.540638501111582,0.006862422564911184,0.0077724277253793,0.018304067293268254
12,7.6079325,2.7582480852889213,0.0031466803128147583,0.0007768698860340759,0.0018295285816102484
13,14.815447500000001,3.8490839819364817,0.005643513918658696,0.004995872138152877,0.011765278885350026
14,11.078217500000001,3.328395634536255,0.0025554400305410198,0.002928479085593575,0.0068965682465728685
15,19.75393,4.444539346209009,0.004157206289489474,0.004134292323723164,0.009736258422368051
16,3.0698675,1.752103735513397,0.005716810784503939,0.004260827513910497,0.01003424879525922
17,12.813360000000001,3.579575393814188,0.008621809085837786,0.0050568881862234,0.011908971678556108
18,18.953095,4.353515246326812,0.003881788196303814,0.003572150727254314,0.00841241496268391
19,6.273207500000001,2.504637199276574,0.004045214400319265,0.0029411361435155974,0.006926375617979231
20,8.4087675,2.899787492213869,0.0034785370595915993,0.002680600806283856,0.006312814898798481
21,55.924977500000004,7.478300441945349,0.003408018158783597,0.004076740252710278,0.009600723295132705
22,23.3576875,4.832979153689782,0.006602722638523382,0.005683765118765138,0.013385266854691899
23,2.2690325000000002,1.506330806961074,0.012328518612608502,0.0040572632238178455,0.009554854892091028
24,3.0698675,1.752103735513397,0.003907658119715644,0.0021516220318384314,0.005067069884979506
25,51.6538575,7.187061812729873,0.005108721997028355,0.004088214095328199,0.009627744194497908
26,8.9426575,2.9904276450033027,0.0063180388448154726,0.002522749208597827,0.005941074386247882
27,14.681975000000001,3.831706538867506,0.0049558252761038365,0.0016173181650654856,0.003808784278729218
28,253.59775000000002,15.924752745333286,0.004825748749721041,0.003607784199653099,0.008496331790183049
29,7.0740425,2.6597072207293793,0.003138163838951313,0.0006029616216952977,0.001419974619092426
30,4.27112,2.066668817203182,0.002328756344119377,0.0017824046746066483,0.004197563008698657
31,8.4087675,2.899787492213869,0.01658443735594232,0.006202534608773571,0.01460696900366176
32,2.2690325000000002,1.506330806961074,0.0026664666212461424,0.0018936995056326755,0.004459662335764951
33,46.0480125,6.785868588471192,0.004253875671702794,0.0033781362267891668,0.007955510814088487
34,131.20346750000002,11.45440821256166,0.00651554667487408,0.005272394152325595,0.012416488228726779
35,14.815447500000001,3.8490839819364817,0.004532947957147382,0.0031290872964412405,0.007369000583119121
36,33.368125,5.776514952806752,0.010776495338337518,0.005651893281520042,0.013310208677979699
37,34.435905,5.868211397010166,0.004738230676554067,0.005008436769344428,0.011794868591806128
38,14.0146125,3.7436095549616284,0.005472770730504105,0.0057203771829402285,0.013471488265824238
40,8.4087675,2.899787492213869,0.00920085561993834,0.002389734232568883,0.00562782411769972
41,101.8395175,10.091556743139286,0.0033424463265249453,0.002460450969745511,0.005794362033750679
42,2.0020875,1.4149514125933795,0.004446600899868122,0.00044185495946394833,0.0010405684295375984
43,9.61002,3.100003225804773,0.010499467761711968,0.006865616022683844,0.016168525733420452
44,30.96562,5.5646760912024344,0.003991867392759785,0.0045331298079789376,0.010675520697790397
45,29.764367500000002,5.45567296490543,0.0039533041580756545,0.002594645428742725,0.0061103899846891175
46,9.2096025,3.034732690040426,0.006332557240426047,0.008855792935688528,0.02085539236354648
47,4.4045925,2.0987121050777784,0.008410182824562176,0.0018291443742731149,0.004307635001413185
48,3.470285,1.8628700974571468,0.0031187835838573526,0.0009432560043985915,0.0022213678903586827
49,8.00835,2.829902825186759,0.007545020647256062,0.009247339774706029,0.021777485169432693
50,11.478634999999999,3.388013429725449,0.0030701884474519164,0.0018742052689147744,0.004413753408294294
51,9.076130000000001,3.012661613922148,0.006858061367264064,0.005087248614664029,0.011980470487533786
52,3.8707025,1.967410099597946,0.005422255326803715,0.005400600677472568,0.012718414595447897
53,48.717462499999996,6.979789574192047,0.00771227431608949,0.005588026526603674,0.013159802470151652
54,15.6162825,3.95174423514478,0.009621961095495445,0.00648762066718203,0.015278346671213678
55,21.2221275,4.606748039561095,0.009569590105226327,0.0037763086976611805,0.008893206982992079
56,2.66945,1.6338451579020576,0.004591668440805965,0.0013201448318186661,0.0031089410789329587
57,7.741405,2.7823380456012172,0.0060976891303707505,0.003787180012677397,0.00891880892985527
58,9.876965,3.142763910954814,0.003924269413733102,0.002095975435930228,0.004936022151615687
59,5.2054275,2.28154059792939,0.003779211002325138,0.0025935932485514983,0.006107912100338778
60,27.6288075,5.256311206540191,0.0056694501307796566,0.0058491643742225085,0.013774782101294007
61,3.470285,1.8628700974571468,0.003867131817103359,0.0015810892606917132,0.0037234652089289844
62,6.139735,2.4778488654476085,0.008294823942267288,0.007285669660350654,0.01715775205012579
63,3.470285,1.8628700974571468,0.0050489461656041505,0.0042643961973381,0.010042653044731226
64,4.1376475,2.0341208174540664,0.005713530212738034,0.0071601146398548475,0.016862069976858164
65,44.045925000000004,6.636710405012411,0.006437612727520104,0.008902430402320308,0.02096522359746433
66,47.649682500000004,6.902874944543035,0.006028125273346325,0.005892422515185255,0.013876655023261276
67,6.8070975,2.6090414906628068,0.00783324293788818,0.005156119417468433,0.01214266122813816
68,1.7351425,1.3172480783815932,0.017037075047098418,0.001584245192042485,0.003730897427260052
69,2.8029225,1.6741930892223873,0.004808282061341393,0.0026320735095171854,0.0061985331149129715
70,126.79887500000001,11.260500654944256,0.004431691812100592,0.0034979643525272124,0.008237706050201585
71,11.74558,3.4271825162952734,0.004887386504537423,0.004659328958882215,0.010972719698167616
72,22.5568525,4.7494054891112425,0.005426477898285988,0.006960464635779923,0.01639189421726172
73,17.08448,4.133337634406364,0.006532765342448838,0.006271151250948318,0.014768561195983286
74,4.9384825,2.2222696731045044,0.006700199352660539,0.006185165565166054,0.014566064905966056
75,8.6757125,2.9454562464922134,0.012434171223646326,0.003442141013101449,0.008106242085853912
76,12.679887500000001,3.5608829663441623,0.006506674592955892,0.007061497249669253,0.01662982602297109
77,20.1543475,4.489359364096396,0.004473914278920831,0.0032085541937711313,0.007556145126331014
78,6.406680000000001,2.531142034734519,0.01310041730458224,0.0033356783897343666,0.007855522607824433
79,44.312870000000004,6.65679126907251,0.006037646899260722,0.00395339174391885,0.009310237556928891
80,22.42338,4.735333145619219,0.007620584105679176,0.007397776215090674,0.017421762986538535
81,10.944745000000001,3.3082842985450935,0.014251524220400413,0.008029219890219836,0.018908812841467712
82,5.071955,2.252100130988851,0.012034405719829774,0.003439831885004001,0.008100804089184423
83,75.81238,8.707030492653624,0.005250201899890971,0.00498773180072835,0.011746108390715266
84,21.2221275,4.606748039561095,0.014936390106442864,0.006491614811225318,0.015287752880435624
85,9.61002,3.100003225804773,0.0065680514093680335,0.005986423789795706,0.014098028024968888
87,43.3785625,6.586240391907967,0.008234480128068706,0.004468642833463185,0.0105236538728058
88,16.1501725,4.018727721555667,0.005720065948410756,0.004430222280523431,0.01043317347063268
89,86.8905975,9.321512618668711,0.0034997016362118376,0.0025754194347040664,0.006065112768728076
90,15.749755,3.968596099378217,0.00607005964640285,0.0048009597163660225,0.011306260132041982
91,38.0396625,6.167630217514666,0.005034974530270535,0.005976035614457476,0.014073563872047359
92,17.08448,4.133337634406364,0.00701679284996843,0.005458184566576147,0.012854024654286826
93,4.6715375,2.1613739842979514,0.010571676627904742,0.0032042817545816986,0.007546083532039899
94,46.98232,6.854365032590547,0.0067900718612309684,0.0072793174049295955,0.0171427924886092
95,14.148085,3.7613940234971395,0.004938775932920442,0.004592727410547352,0.010815873051839012
96,3.3368125,1.8266944188889394,0.006484973242200398,0.0038746954181016246,0.009124907709629327
98,42.17731,6.494406054444086,0.004449063293431219,0.0023225683808637803,0.0054696485369342025
99,5.87279,2.423383997636363,0.0037079012366855613,0.0022394982417305665,0.0052740183592754845
100,65.13458000000001,8.070599729883773,0.005840926498520062,0.00575956109235369,0.013563766372492939
101,2.5359775,1.5924752745333286,0.005315652611863396,0.00263404344693077,0.006203172317521964
102,10.0104375,3.1639275434181484,0.0068425169625595215,0.003045098626776469,0.007171207266058585
103,6.273207500000001,2.504637199276574,0.007473041843419521,0.007311473280190403,0.017218519574848396
105,4.9384825,2.2222696731045044,0.004232483144823898,0.004766282117824847,0.011224594387477515
106,25.893665,5.088581826010072,0.00256692889783246,0.0021425240765524595,0.005045644200281042
108,1.7351425,1.3172480783815932,0.012613027650452554,0.0021935163060180897,0.005165730900672601
109,7.4744600000000005,2.733945866325813,0.009666138636059616,0.0025290152155096604,0.00595583083252525
110,33.2346525,5.764950346707247,0.004231964441282475,0.0021220621937930134,0.004997456466382546
111,16.9510075,4.117160125620571,0.006688729045094672,0.0052585918615655316,0.012383983833986827
112,4.004175,2.001043477788526,0.002735099074564772,0.0005842571944274105,0.0013759256928765516
113,30.031312500000002,5.480083256666818,0.00484712865895462,0.004619891316530252,0.010879844050428742
114,3.0698675,1.752103735513397,0.005628820298276646,0.0007088858954991738,0.0016694262839005542
115,41.5099475,6.442821392837147,0.003815876588714834,0.0020729764149103693,0.004881859457113919
116,4.6715375,2.1613739842979514,0.01198972807602967,0.01615512521655355,0.03804531988498361
117,23.0907425,4.805282770035495,0.005446761525679829,0.005682343786814837,0.013381919617948941
118,15.48281,3.934820199195892,0.005123110245623229,0.007988216828285535,0.018812250630612433
120,9.2096025,3.034732690040426,0.0063913084435083395,0.010067134026002712,0.023708100631236385
121,2.936395,1.7135912581476367,0.008645830807603878,0.006415763963139124,0.015109124133192637
122,82.75295,9.096864844549467,0.005879476924413924,0.003200570584428332,0.007537343726328721
124,126.1315125,11.230828664884884,0.003967840774101059,0.0032317132633065734,0.0076106847350869795
125,1.8686150000000001,1.3669729331629066,0.006766689754811004,0.0029723807224408417,0.006999956601348183
126,20.554765,4.533736317872931,0.010000524643853658,0.006495594006765601,0.01529712388593299
127,39.374387500000005,6.2749013936475535,0.003800888219881679,0.002356585531844502,0.005549758927493802
128,19.22004,4.384066605333454,0.0038666341113854715,0.00200146457235994,0.004713449067907659
129,20.6882375,4.548432422274733,0.006629858796396227,0.005150190983712153,0.012128699766642121
130,9.076130000000001,3.012661613922148,0.005047936000401307,0.0042583598143474954,0.010028437362788353
131,10.944745000000001,3.3082842985450935,0.013113102925317494,0.01687074317278289,0.03973060017190371
132,7.207515,2.684681545360641,0.005077986527419381,0.004301242740902582,0.01012942665482558
133,87.4244875,9.350106282818393,0.004815191523182637,0.0032623467605905113,0.007682826621190655
134,16.1501725,4.018727721555667,0.005808697011704486,0.0064390465833351505,0.015163954703754279
135,54.723725,7.397548580442037,0.0030766105810833342,0.0028540276832128507,0.006721235193966263
136,9.2096025,3.034732690040426,0.008846164742986861,0.004939237307527411,0.011631903859227051
137,2.66945,1.6338451579020576,0.002938819458376288,0.0009076639008545155,0.002137548486512384
138,7.0740425,2.6597072207293793,0.004704153368369693,0.007064753476101699,0.0166374944362195
139,13.34725,3.6533888377778787,0.010517035731915387,0.007210214288130874,0.016980054648548206
140,6.8070975,2.6090414906628068,0.006071591952646159,0.006088817005619477,0.014339164048233868
141,2.8029225,1.6741930892223873,0.003127651009979292,0.0009850075468124974,0.0023196927727434312
142,11.078217500000001,3.328395634536255,0.0041803997518803935,0.006072324738540507,0.014300324759262894
143,5.4723725000000005,2.3393102615942163,0.00601877638849902,0.003396300753891858,0.007998288275415325
144,27.8957525,5.281642973545258,0.005355224060054158,0.0038091474360695435,0.008970542211943775
145,6.273207500000001,2.504637199276574,0.005395342682025332,0.00971416326080611,0.02287685447919839
146,35.1032675,5.924801051512194,0.007456623884452592,0.009120911846027887,0.021479747397395672
147,16.1501725,4.018727721555667,0.006205725383113222,0.0060033745535618905,0.014137947073638253
148,4.9384825,2.2222696731045044,0.01053843305777102,0.009264871216383056,0.021818771714582096
150,14.41503,3.796713052101778,0.007853226946064485,0.008615007979822283,0.020288343792481477
151,5.4723725000000005,2.3393102615942163,0.010028622747581548,0.00822476316558921,0.019369317254962593
152,166.306735,12.895996859490932,0.004283592076396389,0.0032066330322676234,0.0075516207909902535
153,10.5443275,3.247203027222043,0.0016265309736634985,0.0018526175930378527,0.004362914431604143
154,69.138755,8.31497173777518,0.0047564771020128915,0.005342040686662212,0.01258050581708951
155,28.29617,5.3194144414587585,0.0037833702096665154,0.0017114624337805386,0.004030494031553168
156,8.275295,2.8766812475489876,0.010321803893234453,0.013842068543964347,0.03259807142103603
157,11.3451625,3.368258080967075,0.0061907109439391554,0.005265482158470038,0.012400210483196939
158,9.2096025,3.034732690040426,0.009358946646022472,0.008033134820538296,0.01891803250236769
159,3.3368125,1.8266944188889394,0.00615451720567133,0.0014023896153570732,0.0033026275441659075
160,6.273207500000001,2.504637199276574,0.002612059845966188,0.0009378327509002045,0.0022085961283699815
161,2.402505,1.5500016129023866,0.004804552802354817,0.002593234326822032,0.006107066839665885
162,22.156435000000002,4.707062247304576,0.0033557255500672907,0.0021181999087316345,0.004988360785062999
163,14.41503,3.796713052101778,0.005057141903492541,0.0042361605497870285,0.009976158094748453
164,66.0688875,8.128277031450146,0.004621715424139994,0.0047377344676065684,0.01115736467121347
165,5.87279,2.423383997636363,0.003822444732809109,0.001605498812093538,0.003780949702480282
166,3.8707025,1.967410099597946,0.009084548436222072,0.009872962561070175,0.02325082683132026
167,3.8707025,1.967410099597946,0.002812621932477586,0.0020686496799333003,0.004871669996242923
168,10.2773825,3.205835694479678,0.004409019317133344,0.006422932203429823,0.015126005339077233
